id	tier	corpus	work	reference	sanskrit_iast	english_rendering	context_and_limits	verification	family	source_url
1	C	Veda	Ṛgveda	10.129.6–7	ko addhā veda ka iha pra vocat kuta ājātā kuta iyaṃ visṛṣṭiḥ ... yo asyādhyakṣaḥ parame vyoman so aṅga veda yadi vā na veda	Who really knows whence creation arose? Perhaps its overseer knows—or perhaps not.	Epistemic humility about cosmogony; not a rejection of teachers.	Verified digital Sanskrit	creation_humility	https://www.wisdomlib.org/hinduism/book/rig-veda-english-translation/d/doc840102.html
2	C	Veda	Ṛgveda	1.89.1	ā no bhadrāḥ kratavo yantu viśvato 'dabdhāso aparītāsa udbhidaḥ	May beneficial insights come to us from every direction.	Openness to many sources; not specifically about guru authority.	Verified digital Sanskrit	openness_many_sources	https://www.wisdomlib.org/hinduism/book/rig-veda-english-translation/d/doc829922.html
3	C	Veda	Ṛgveda	1.164.46	indraṃ mitraṃ varuṇam agnim āhur atho divyaḥ sa suparṇo garutmān | ekaṃ sad viprā bahudhā vadanty agniṃ yamaṃ mātariśvānam āhuḥ	Reality is one; inspired speakers name it in many ways.	Supports plurality of formulation, not unrestricted relativism.	Verified digital Sanskrit	plural_formulations	https://www.sanskritica.com/shlokas/rig-1-164-46-ekam-sat
4	C	Veda	Ṛgveda	10.191.2–4	saṃ gacchadhvaṃ saṃ vadadhvaṃ saṃ vo manāṃsi jānatām ... samānam astu vo mano yathā vaḥ susahāsati	Come together, speak together, and let your deliberation and intentions be shared.	Collective deliberation; not anti-authoritarian.	Verified digital Sanskrit	collective_deliberation	https://www.wisdomlib.org/hinduism/book/rig-veda-english-translation/d/doc840451.html
5	B	Upaniṣad	Kena Upaniṣad	2.1	yadi manyase suvedeti daharam evāpi nūnaṃ tvaṃ vettha brahmaṇo rūpam ... atha nu mīmāṃsyam eva te manye viditam	If you think you know Brahman well, you know only a little; what you know still requires inquiry.	Teacher corrects premature certainty.	Verified digital Sanskrit	kena_humility	https://www.wisdomlib.org/hinduism/book/kena-upanishad-madhva-commentary/d/doc486074.html
6	B	Upaniṣad	Kena Upaniṣad	2.3	yasyāmataṃ tasya mataṃ mataṃ yasya na veda saḥ | avijñātaṃ vijānatāṃ vijñātam avijānatām	It is understood by one who does not claim complete conceptual possession; one who thinks it fully known does not know.	Paradoxical teaching on limits of objectifying knowledge.	Verified digital Sanskrit	kena_humility	https://vivekavani.com/keu/
7	C	Upaniṣad	Kaṭha Upaniṣad	1.2.5	avidyāyām antare vartamānāḥ svayaṃ dhīrāḥ paṇḍitaṃ manyamānāḥ | dandramyamāṇāḥ pariyanti mūḍhā andhenaiva nīyamānā yathāndhāḥ	Living in ignorance while imagining themselves wise, they wander like blind people led by the blind.	Warns against false expertise and bad leadership.	Verified digital Sanskrit	blind_leading_blind	https://vivekavani.com/kau1c2v5/
8	B	Upaniṣad	Kaṭha Upaniṣad	1.2.23	nāyam ātmā pravacanena labhyo na medhayā na bahunā śrutena | yam evaiṣa vṛṇute tena labhyas tasyaiṣa ātmā vivṛṇute tanūṃ svām	The Self is not attained merely by preaching, intellect, or much hearing.	Denies sufficiency of verbal learning; does not deny scripture or grace.	Verified digital Sanskrit	learning_not_realization	https://vivekavani.com/kau1c2v23/
9	C	Upaniṣad	Muṇḍaka Upaniṣad	1.2.8	avidyāyām antare vartamānāḥ svayaṃ dhīrāḥ paṇḍitaṃ manyamānāḥ | jaṅghanyamānāḥ pariyanti mūḍhā andhenaiva nīyamānā yathāndhāḥ	Those in ignorance who imagine themselves wise wander like blind people led by the blind.	Near-parallel of Kaṭha; counted in the same textual family.	Verified digital Sanskrit	blind_leading_blind	https://vivekavani.com/muu1c2v8/
10	B	Upaniṣad	Muṇḍaka Upaniṣad	1.2.12	parīkṣya lokān karmacitān brāhmaṇo nirvedam āyān nāsty akṛtaḥ kṛtena | tad vijñānārthaṃ sa gurum evābhigacchet samitpāṇiḥ śrotriyaṃ brahmaniṣṭham	After examining the worlds gained by action, approach a teacher who knows the tradition and is established in Brahman.	Examination precedes approaching a qualified guru.	Verified digital Sanskrit	examine_then_teacher	https://gita.pub/upanishad/mundaka/verse/1-2-12/
11	B	Upaniṣad	Bṛhadāraṇyaka Upaniṣad	2.4.5	ātmā vā are draṣṭavyaḥ śrotavyo mantavyo nididhyāsitavyo maitreyi	The Self is to be heard about, reflected upon, and deeply contemplated.	Hearing is one stage; reasoning/reflection is explicitly required.	Verified digital Sanskrit	hear_reflect_contemplate	https://vivekavani.com/bru2c4v5/
12	B	Upaniṣad	Chāndogya Upaniṣad	7.1.3–4	so 'haṃ bhagavo mantravid evāsmi nātmavit ... yad vai kiṃ caitad adhyagīṣṭhā nāmaivaitat	Nārada says, “I know the mantras, but not the Self”; Sanatkumāra replies that what he has learned so far is only name.	Rote scriptural mastery is distinguished from realization.	Verified digital Sanskrit	learning_not_realization	https://vivekavani.com/chu7c1v3/
13	A	Upaniṣad	Taittirīya Upaniṣad	1.11.2–3	yāny anavadyāni karmāṇi tāni sevitavyāni no itarāṇi | yāny asmākaṃ sucaritāni tāni tvayopāsyāni no itarāṇi	Practice only our blameless and good conduct—not the rest.	Directly limits imitation of the teacher: follow only conduct that is ethically blameless.	Verified digital Sanskrit	teacher_only_bl_ameless	https://sanskritdocuments.org/doc_upanishhat/shikshaavalii.html
14	B	Upaniṣad	Taittirīya Upaniṣad	1.11.3	atha yadi te karmavicikitsā vā vṛttavicikitsā vā syāt | ye tatra brāhmaṇāḥ saṃmarśinaḥ yuktā āyuktā alūkṣā dharmakāmāḥ syuḥ | yathā te tatra varteran tathā tatra vartethāḥ	If doubt arises about an action or conduct, look to thoughtful, competent, non-harsh people devoted to dharma.	A communal procedure for resolving doubt; qualifications matter.	Verified digital Sanskrit	doubt_consult_qualified	https://www.wisdomlib.org/hinduism/book/the-taittiriya-upanishad/d/doc79789.html
15	A	Vedāṅga / Śikṣā	Yājñavalkyaśikṣā	MS B 432-7 v.193; other recensions differ	yuktiyuktaṃ vaco grāhyaṃ na grāhyaṃ gurugauravāt | sarvaśāstrarahasyaṃ tad yājñavalkyena bhāṣitam	Accept speech that is joined with reason; do not accept it merely from reverence for a guru.	Extremely direct, but verse number is recension-dependent; not safely “232” in all editions.	Verified manuscript catalogue; numbering variable	yukti_guru_reverence	https://www-archiv.fdm.uni-hamburg.de/
16	A	Itihāsa	Mahābhārata	5.178.24	guror apy avaliptasya kāryākāryam ajānataḥ | utpathapratipannasya kāryaṃ bhavati śāsanam	Even a guru who is arrogant, cannot distinguish right from wrong, and takes a wrong path must be corrected.	Bhīṣma respectfully refuses Paraśurāma’s order in the Ambā dispute.	Verified critical-edition Sanskrit	bad_guru_correction	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_mahAbhArata.htm
17	A	Itihāsa	Mahābhārata	12.57.7	guror apy avaliptasya kāryākāryam ajānataḥ | utpathapratipannasya parityāgo vidhīyate	Abandonment is prescribed for an arrogant guru who cannot distinguish right from wrong and follows a wrong path.	A direct gnomic form in a statecraft discussion; parallel family.	Verified critical-edition Sanskrit	bad_guru_correction	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_mahAbhArata.htm
18	A	Itihāsa	Mahābhārata	12.138.48	guror apy avaliptasya kāryākāryam ajānataḥ | utpathapratipannasya daṇḍo bhavati śāsanam	A straying, arrogant guru unable to discern right and wrong is subject to discipline.	More severe statecraft variant; parallel family, not an independent maxim.	Verified critical-edition Sanskrit	bad_guru_correction	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_mahAbhArata.htm
19	A	Itihāsa	Mahābhārata, Bhagavad Gītā	6.40.63 = Gītā 18.63	iti te jñānam ākhyātaṃ guhyād guhyataraṃ mayā | vimṛśyaitad aśeṣeṇa yathecchasi tathā kuru	I have taught you the most secret knowledge; reflect on it completely, then act as you choose.	Krishna ends instruction by requiring reflection and leaving agency to Arjuna.	Verified critical-edition Sanskrit	reflect_then_choose	https://www.gitasupersite.iitk.ac.in/srimad?language=dv&field_chapter_value=18&field_nsutra_value=63
20	B	Itihāsa	Mahābhārata, Bhagavad Gītā	6.26.34 = Gītā 4.34	tad viddhi praṇipātena paripraśnena sevayā | upadekṣyanti te jñānaṃ jñāninas tattvadarśinaḥ	Learn through humility, service, and sustained questioning of those who have seen truth.	Supports respectful inquiry, not passive submission.	Verified critical-edition Sanskrit	question_teacher	https://www.gitasupersite.iitk.ac.in/srimad?language=dv&field_chapter_value=4&field_nsutra_value=34
21	A	Itihāsa	Mahābhārata, Tulādhāra dialogue	12.254.49–52	īdṛśān aśivān ghorān ācārān iha jājale | kevalācaritatvāt tu nipuṇān nāvabudhyase || kāraṇād dharmam anvicchen na lokacaritaṃ caret ... upapattyā hi saṃpanno yatibhiś caiva sevyate	Do not fail to see harmful customs merely because they are practiced; seek dharma on grounds, not by copying the world; the wise honor what is supported by justification.	Tulādhāra’s ethical critique of conventional sacrificial practice.	Verified critical-edition Sanskrit	custom_needs_reason	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_mahAbhArata.htm
22	C	Itihāsa	Mahābhārata, Bhagavad Gītā	6.28.5 = Gītā 6.5	uddhared ātmanātmānaṃ nātmānam avasādayet | ātmaiva hy ātmano bandhur ātmaiva ripur ātmanaḥ	One should raise oneself and not degrade oneself; the self can be one’s ally or enemy.	Supports personal responsibility, not a rule for evaluating scripture.	Verified digital Sanskrit	self_responsibility	https://www.gitasupersite.iitk.ac.in/srimad?language=dv&field_chapter_value=6&field_nsutra_value=5
23	C	Itihāsa	Vālmīki Rāmāyaṇa	6.9.8–13	upapattim upālambhaṃ bruvāṇaṃ sādhu rāvaṇa ... parīkṣitāḥ kṣipraṃ vināśam upayānti hi	Vibhīṣaṇa asks Rāvaṇa to weigh reasons and warns that unexamined undertakings quickly end in ruin.	Practical counsel in war; thematic rather than a guru rule.	Verified critical-edition Sanskrit	practical_examination	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_vAlmIki-rAmAyaNa.htm
24	C	Itihāsa	Vālmīki Rāmāyaṇa	6.11.32–35	guṇadoṣau parijñāya ... guṇavān vā yadi vā doṣavān ayam	Assess benefit and harm, then decide whether the newcomer’s qualities justify acceptance.	Rāma’s council considers Vibhīṣaṇa; practical evaluation of a person.	Verified critical-edition Sanskrit	practical_examination	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_vAlmIki-rAmAyaNa.htm
25	C	Itihāsa	Vālmīki Rāmāyaṇa	6.12.6–8	na tvevaṃ hi vicinvantaḥ ... pratyakṣam anumānaṃ ca sarveṣāṃ yonir eva hi	Investigation uses observable signs and inference; judgment must be made from evidence.	Hanumān argues that over-testing a sincere refuge-seeker can itself mislead; context matters.	Verified critical-edition Sanskrit	evidence_inference	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_vAlmIki-rAmAyaNa.htm
26	A	Mahāpurāṇa	Viṣṇu Purāṇa	3.18.26	naitad yuktisahaṃ vākyaṃ hiṃsā dharmāya neṣyate	The claim that violence is dharma does not withstand reason.	Spoken by Māyāmoha while deluding the demons; evidence of internal rational rhetoric, not the narrator’s universal doctrine.	Verified primary Sanskrit; polemical context	mayamoha_reason	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_viSNupurANa-crit.htm
27	A	Mahāpurāṇa	Viṣṇu Purāṇa	3.18.31	na hy āptavādā nabhaso nipatanti mahāsurāḥ | yuktimadvacanaṃ grāhyaṃ mayānyaiś ca bhavadvidhaiḥ	Reliable statements do not fall from the sky; reasoned speech should be accepted.	Māyāmoha’s polemical speech; must not be isolated as the Purāṇa’s final doctrine.	Verified primary Sanskrit; polemical context	mayamoha_reason	https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_viSNupurANa-crit.htm
28	A	Mahāpurāṇa	Padma Purāṇa, Sṛṣṭikhaṇḍa	1.13.365–370	naitad yuktisahaṃ vākyaṃ hiṃsā dharmāya jāyate ... na hy āptavādā nabhaso nipatanti mahāsurāḥ | yuktimadvacanaṃ grāhyam	Ritual violence does not withstand examination; reliable claims do not fall from the sky, so accept reasoned speech.	A parallel Māyāmoha recension; grouped with Viṣṇu Purāṇa witnesses.	Verified web Sanskrit; parallel/polemical	mayamoha_reason	https://www.transliteral.org/pages/z201025100602/view
29	B	Mahāpurāṇa	Liṅga Purāṇa	1.10.14–15	vṛddhāś cālolupāś caiva ātmavanto hy adāmbhikāḥ | samyagvinītā ṛjavas tān ācāryān pracakṣate || svayam ācarate yasmād ācāraṃ sthāpayaty api | ācinoti ca śāstrārthān ācāryas tena cocyate	A true teacher is mature, non-greedy, self-controlled, non-hypocritical and straightforward; one practices what one teaches and understands scripture’s meaning.	Qualification test for an ācārya.	Verified primary Sanskrit	qualified_teacher_linga	https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/3_purana/lip_1_pu.htm
30	B	Mahāpurāṇa	Liṅga Purāṇa	1.10.17	dṛṣṭvānurūpam arthaṃ yaḥ pṛṣṭo naivāpi gūhati | yathādṛṣṭapravādas tu satyaṃ laiṅge 'tra paṭhyate	A truthful person does not hide what has been observed and speaks in accordance with observation.	Definition of truthfulness; not specifically about a guru.	Verified primary Sanskrit	observation_truth	https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/3_purana/lip_1_pu.htm
